,content,id,lat,location,lon,time,user,user_id
1,I liked a @YouTube video https://t.co/G4BWQs1am7 FAZE RAIN 2018 UPDATE,970892757563830272,,"Boston, MA",,2018-03-06 05:24:06,TeensNTech,3429446573
2,@haleygoes Damn. We only got rain on that last pass through. Hoping things get resolved quickly,970886456720977920,,"Boston, MA",,2018-03-06 04:59:04,HardcoreHolly13,2942436717
5,@taeadores @protectingRM @joonsintellect I'm not sobbing. that's just rain.,970880617348026368,,"Boston, MA",,2018-03-06 04:35:51,nanairo_namjoon,903271066226892800
7,"@wildweatherdan I'm so frustrated about the rain/snow line. I am tempted to take a train out to Central MA., and ho… https://t.co/ms4SUkYrxi",970879236704735232,,"Boston, MA",,2018-03-06 04:30:22,MatthewCappucci,2579614256
8,"Wed. Night will be wild with heavy, wet snow (up to 2"" per hour) or heavy rain, depending on where rain/snow line s… https://t.co/Wj4HhRqyh2",970877939595317248,,"Boston, MA",,2018-03-06 04:25:13,Boston_CP,70291924
12,"@realprinzzess @jopo2955 Wind, rain and snow coming ☹",970874718852132864,,"Boston, MA",,2018-03-06 04:12:25,2011Avalanche,398501956
21,"Wed. Night will be wild with heavy, wet snow (up to 2"" per hour) or heavy rain, depending on where rain/snow line s… https://t.co/6kaq3boa4L",970870442201403393,,"Boston, MA",,2018-03-06 03:55:25,HarveyWCVB,278173042
22,Important too to look at model TRENDS. Notice from bottom to top that the GFS has been increasing the blue; looks l… https://t.co/BV8UoHuQ2Y,970870127192367109,,"Boston, MA",,2018-03-06 03:54:10,MatthewCappucci,2579614256
23,"I make it rain, you can have it",970864389053181952,,"Boston, MA",,2018-03-06 03:31:22,MC_MiguelCruz,1373080814
24,@ericfisher so is there a chance downtown gets nothing but rain on wed/thurs? rain doesn’t cancel school :-/,970863431841665024,,"Boston, MA",,2018-03-06 03:27:34,mango_oso,740681788088012800
37,@KevinOConnorNBA I have two: Revolver - The Beatles &amp; Purple Rain - Prince,970846184628682752,,"Boston, MA",,2018-03-06 02:19:02,jmattsonjr,192181161
44,@petedoom Dude in the span of a month. We’ve had snow storms. Rain storms. 70 degree weather and freezing temperatures. GOTTA LOVE IT BABY!!,970843987526541312,,"Boston, MA",,2018-03-06 02:10:18,trustyluis,842129589908430855
