,content,id,lat,location,lon,time,user,user_id
726,I'm trying to reupholster that pussy,970829120996290560,,"Boston, MA",,2018-03-06 01:11:14,LongTitsNoNips,614273119
73,"@tomshattuck @VBTheWise @TheBrademan @dwatty93 @BigSteve207 Another pre-diabetic and his ignorant parent. Where's the ""wisdom"" here, nitwit?",970829746543255552,,"Boston, MA",,2018-03-06 01:13:43,Trumpwatching1,798798284953223168
731,RT @OmggRhi: Woke up with my anxiety being wicked bad... gonna be one of those days😔,970829119024979968,,"Boston, MA",,2018-03-06 01:11:13,OmggRhi,2216850999
733,"RT @JulietSchor: Gotta get this through folks. Full court press on the House, where there will be plenty of opposition. But it's a great st…",970829117745745920,,"Boston, MA",,2018-03-06 01:11:13,flyingless,3982969096
734,RT @ImmortalSoulTHC: This song always touches my soul https://t.co/759UVhUIMB,970829117112320000,,"Boston, MA",,2018-03-06 01:11:13,ImmortalSoulTHC,1666598750
735,@mowbzz He was probably too late to make the cut.,970829116986585088,,"Boston, MA",,2018-03-06 01:11:13,RearAdBsBlog,167716995
738,Of course it is,970829114700697600,,"Boston, MA",,2018-03-06 01:11:12,zacharylevesqu5,957281943166603264
739,@mikemosley I hope there will be another season.  Great show!,970829113589161984,,"Boston, MA",,2018-03-06 01:11:12,trishd1031,1284292698
742,"She didn't even wait for the drumroll, LOL",970829110858665984,,"Boston, MA",,2018-03-06 01:11:11,thatdariachick,29787462
743,"I'm working on a difficult manuscript right now. To power through, I've committed to writing 2 pages a day. When I'… https://t.co/s0lB3T6BBC",970829110758072320,,"Boston, MA",,2018-03-06 01:11:11,mstewartscience,34661286
744,@chefcuri Me? Never that! https://t.co/tD3hz641ch,970829108392407040,,"Boston, MA",,2018-03-06 01:11:11,blvcksxlk,743195396411916288
745,"I'm at East Boston in Boston, MA https://t.co/gL11GN0mzq",970829107129995264,-71.03005282,"Boston, MA",42.37447558,2018-03-06 01:11:10,rocketdescends,20953250
748,@_lovedbyfew Carbon still around - but player field size is rather small - can certainly make money tho - deposit and withdraw with bitcoin,970829104240054272,,"Boston, MA",,2018-03-06 01:11:10,NickeLNin9,531590391
749,"Yessss RONDA Pide a Stephanie 
para #WrestleMania #RAW",970829102553935872,,"Boston, MA",,2018-03-06 01:11:09,LNathan511,826531226102161408
751,@fleeboi_ape I'm a graphic designer &amp; cartoonist who does cover art. Check out my samples and DM me! https://t.co/wITbUdVbH5,970829102092517376,,"Boston, MA",,2018-03-06 01:11:09,aMortalArtist,309489447
753,Ronda is gonna choose Stephanie. #Raw,970829101618655232,,"Boston, MA",,2018-03-06 01:11:09,helloitsdanie,21468741
754,Tener hijos no es una necesidad. Chiss Rhb https://t.co/0ZzwlqJZnG,970829101304090624,,"Boston, MA",,2018-03-06 01:11:09,Koral_Acv2,883419102
757,what if instead of having sirens ambulances just played move bitch get out the way by ludacris,970829096405041152,,"Boston, MA",,2018-03-06 01:11:08,FindingDoryQ,316062886
762,RT @OmggRhi: Fat ass nut https://t.co/xbqNH25Jdo,970829093880107008,,"Boston, MA",,2018-03-06 01:11:07,OmggRhi,2216850999
766,"I liked a @YouTube video https://t.co/qcuoNXBoq9 Stray Kids ""I am NOT"" Trailer",970829091048972288,,"Boston, MA",,2018-03-06 01:11:07,shaeyumi,41331608
767,"@Suffolk_U: As part of an #onlinejaehnigism assignment, I covered Friday’s nor’easter and the tidal surges it broug… https://t.co/U6T9xjcgdV",970829090025504768,,"Boston, MA",,2018-03-06 01:11:06,JonathanNgBOS,954430236
771,"@RapSheet Ian cmon, respect the biz",970829083033694208,,"Boston, MA",,2018-03-06 01:11:05,MarcusPapas,558034236
